county,population
SK Koeln,1085664
SK Duesseldorf,619294
LK Recklinghausen,615261
LK Rhein-Sieg-Kreis,599780
SK Dortmund,587010
SK Essen,583109
StadtRegion Aachen,555465
SK Duisburg,498590
LK Mettmann,485684
LK Rhein-Erft-Kreis,470089
LK Wesel,459809
LK Rhein-Kreis Neuss,451007
LK Steinfurt,447614
LK Maerkischer Kreis,412120
LK Unna,394782
LK Borken,370676
SK Bochum,364628
LK Guetersloh,364083
SK Wuppertal,354382
LK Lippe,348391
SK Bielefeld,333786
SK Bonn,327258
LK Ennepe-Ruhr-Kreis,324296
SK Muenster,314319
LK Kleve,310974
LK Minden-Luebbecke,310710
LK Paderborn,306890
LK Soest,301902
LK Viersen,298935
LK Rheinisch-Bergischer Kreis,283455
LK Siegen-Wittgenstein,278210
LK Warendorf,277783
LK Oberbergischer Kreis,272471
LK Dueren,263722
SK Moenchengladbach,261454
SK Gelsenkirchen,260654
LK Hochsauerlandkreis,260475
LK Heinsberg,254322
LK Herford,250783
SK Krefeld,227020
LK Coesfeld,219929
SK Oberhausen,210829
LK Euskirchen,192840
SK Hagen,188814
SK Hamm,179111
SK Muelheim a.d.Ruhr,170880
SK Leverkusen,163838
SK Solingen,159360
SK Herne,156374
LK Hoexter,140667
LK Olpe,134775
SK Bottrop,117383
SK Remscheid,110994
